"week","sum_degree","sum_degree_sensor","case_norm","case_sensor_norm","ili","case_degree_sensor_ratio","case_degree_ratio","week_flu_season","ili_lag1","sum_degree_sensor_lag1","sum_degree_lag1","case_norm_lag1","case_sensor_norm_lag1","case_degree_sensor_ratio_lag1","case_degree_ratio_lag1","ili_lag2","sum_degree_sensor_lag2","sum_degree_lag2","case_norm_lag2","case_sensor_norm_lag2","case_degree_sensor_ratio_lag2","case_degree_ratio_lag2","ili_lag3","sum_degree_sensor_lag3","sum_degree_lag3","case_norm_lag3","case_sensor_norm_lag3","case_degree_sensor_ratio_lag3","case_degree_ratio_lag3","ili_lag4","sum_degree_sensor_lag4","sum_degree_lag4","case_norm_lag4","case_sensor_norm_lag4","case_degree_sensor_ratio_lag4","case_degree_ratio_lag4"
40,119058,80191,0.715811084407129,0.154035296644572,6.96,2358.55882352941,753.53164556962,4,2.59,2639,5505,0.0633830366204368,0.00845107154939157,1319.5,367,4.9,1049,6038,0.0767108747951253,0.00348685794523297,1049,274.454545454545,9.53,1725,9838,0.0957628718102793,0.00416360312218605,1725,427.739130434783,13.63,1815,6275,0.0910438440750351,0.00455219220375175,1815,313.75
42,16531,5249,0.195572440798504,0.0158572249296085,10.24,1749.66666666667,446.783783783784,6,6.96,80191,119058,0.715811084407129,0.154035296644572,2358.55882352941,753.53164556962,2.59,2639,5505,0.0633830366204368,0.00845107154939157,1319.5,367,4.9,1049,6038,0.0767108747951253,0.00348685794523297,1049,274.454545454545,9.53,1725,9838,0.0957628718102793,0.00416360312218605,1725,427.739130434783
43,14480,7194,0.127490262577056,0.02360930788464,11.94,1438.8,536.296296296296,7,10.24,5249,16531,0.195572440798504,0.0158572249296085,1749.66666666667,446.783783783784,6.96,80191,119058,0.715811084407129,0.154035296644572,2358.55882352941,753.53164556962,2.59,2639,5505,0.0633830366204368,0.00845107154939157,1319.5,367,4.9,1049,6038,0.0767108747951253,0.00348685794523297,1049,274.454545454545
44,8655,1794,0.140863447150412,0.00586931029793382,9.45,1794,360.625,8,11.94,7194,14480,0.127490262577056,0.02360930788464,1438.8,536.296296296296,10.24,5249,16531,0.195572440798504,0.0158572249296085,1749.66666666667,446.783783783784,6.96,80191,119058,0.715811084407129,0.154035296644572,2358.55882352941,753.53164556962,2.59,2639,5505,0.0633830366204368,0.00845107154939157,1319.5,367
45,15163,3764,0.233734499646226,0.0143102754885445,11.01,1254.66666666667,309.448979591837,9,9.45,1794,8655,0.140863447150412,0.00586931029793382,1794,360.625,11.94,7194,14480,0.127490262577056,0.02360930788464,1438.8,536.296296296296,10.24,5249,16531,0.195572440798504,0.0158572249296085,1749.66666666667,446.783783783784,6.96,80191,119058,0.715811084407129,0.154035296644572,2358.55882352941,753.53164556962
46,14472,7314,0.152533412690071,0.0196817306696866,14.71,1828.5,466.838709677419,10,11.01,3764,15163,0.233734499646226,0.0143102754885445,1254.66666666667,309.448979591837,9.45,1794,8655,0.140863447150412,0.00586931029793382,1794,360.625,11.94,7194,14480,0.127490262577056,0.02360930788464,1438.8,536.296296296296,10.24,5249,16531,0.195572440798504,0.0158572249296085,1749.66666666667,446.783783783784
47,9949,2100,0.128200285926084,0.0098615604558526,13.03,1050,382.653846153846,11,14.71,7314,14472,0.152533412690071,0.0196817306696866,1828.5,466.838709677419,11.01,3764,15163,0.233734499646226,0.0143102754885445,1254.66666666667,309.448979591837,9.45,1794,8655,0.140863447150412,0.00586931029793382,1794,360.625,11.94,7194,14480,0.127490262577056,0.02360930788464,1438.8,536.296296296296
48,29287,11768,0.264080808105914,0.0349518716610768,18.31,1307.55555555556,430.691176470588,12,13.03,2100,9949,0.128200285926084,0.0098615604558526,1050,382.653846153846,14.71,7314,14472,0.152533412690071,0.0196817306696866,1828.5,466.838709677419,11.01,3764,15163,0.233734499646226,0.0143102754885445,1254.66666666667,309.448979591837,9.45,1794,8655,0.140863447150412,0.00586931029793382,1794,360.625
49,30886,11956,0.236217482165126,0.0254388057716289,19.95,1708,475.169230769231,13,18.31,11768,29287,0.264080808105914,0.0349518716610768,1307.55555555556,430.691176470588,13.03,2100,9949,0.128200285926084,0.0098615604558526,1050,382.653846153846,14.71,7314,14472,0.152533412690071,0.0196817306696866,1828.5,466.838709677419,11.01,3764,15163,0.233734499646226,0.0143102754885445,1254.66666666667,309.448979591837
50,41907,18159,0.301719184307601,0.0193409733530513,23.95,3631.8,537.269230769231,14,19.95,11956,30886,0.236217482165126,0.0254388057716289,1708,475.169230769231,18.31,11768,29287,0.264080808105914,0.0349518716610768,1307.55555555556,430.691176470588,13.03,2100,9949,0.128200285926084,0.0098615604558526,1050,382.653846153846,14.71,7314,14472,0.152533412690071,0.0196817306696866,1828.5,466.838709677419
